iter	Passed	Remaining
0	157	157253
1	179	89442
2	202	67443
3	221	55230
4	242	48161
5	271	44907
6	293	41585
7	314	39016
8	333	36750
9	357	35406
10	386	34754
11	407	33534
12	435	33092
13	467	32904
14	499	32775
15	536	33002
16	610	35304
17	646	35296
18	684	35320
19	746	36583
20	778	36302
21	815	36245
22	849	36087
23	1074	43683
24	1158	45196
25	1226	45938
26	1264	45583
27	1293	44907
28	1313	43987
29	1342	43422
30	1365	42675
31	1393	42149
32	1420	41629
33	1444	41044
34	1463	40343
35	1481	39674
36	1499	39026
37	1520	38493
38	1539	37926
39	1570	37692
40	1596	37335
41	1626	37106
42	1665	37069
43	1693	36802
44	1722	36549
45	1747	36249
46	1774	35989
47	1808	35869
48	1836	35648
49	1864	35417
50	1890	35187
51	1918	34966
52	1943	34734
53	1970	34518
54	1992	34241
55	2012	33923
56	2036	33690
57	2059	33455
58	2117	33768
59	2141	33545
60	2171	33420
61	2203	33341
62	2229	33159
63	2253	32953
64	2281	32822
65	2300	32552
66	2322	32347
67	2346	32157
68	2373	32031
69	2395	31828
70	2420	31670
71	2440	31449
72	2466	31323
73	2493	31197
74	2515	31022
75	2539	30871
76	2566	30769
77	2597	30705
78	2617	30513
79	2634	30299
80	2651	30085
81	2671	29905
82	2692	29747
83	2717	29630
84	2737	29466
85	2757	29308
86	2775	29131
87	2794	28963
88	2815	28814
89	2836	28682
90	2858	28550
91	2881	28435
92	2906	28350
93	2931	28256
94	2951	28116
95	2974	28007
96	3000	27929
97	3029	27879
98	3048	27747
99	3072	27654
100	3098	27579
101	3122	27493
102	3146	27404
103	3170	27312
104	3193	27219
105	3223	27185
106	3249	27117
107	3272	27024
108	3297	26955
109	3329	26940
110	3358	26899
111	3385	26843
112	3418	26831
113	3442	26752
114	3467	26681
115	3488	26582
116	3511	26500
117	3539	26455
118	3568	26415
119	3588	26315
120	3625	26336
121	3658	26332
122	3684	26272
123	3716	26255
124	3746	26225
125	3767	26130
126	3790	26055
127	3819	26018
128	3840	25931
129	3867	25885
130	3885	25772
131	3905	25679
132	3923	25578
133	3949	25521
134	3974	25468
135	3999	25407
136	4017	25304
137	4034	25201
138	4054	25116
139	4075	25034
140	4092	24931
141	4109	24833
142	4132	24763
143	4154	24696
144	4180	24648
145	4200	24572
146	4221	24495
147	4247	24452
148	4269	24384
149	4293	24332
150	4314	24260
151	4334	24182
152	4357	24125
153	4384	24088
154	4405	24014
155	4429	23967
156	4453	23910
157	4479	23871
158	4507	23839
159	4553	23904
160	4602	23986
161	4625	23927
162	4652	23888
163	4679	23854
164	4702	23795
165	4724	23736
166	4748	23683
167	4767	23612
168	4800	23602
169	4822	23545
170	4844	23487
171	4868	23437
172	4898	23417
173	4919	23355
174	4935	23269
175	4956	23205
176	4979	23153
177	5005	23117
178	5025	23049
179	5053	23023
180	5075	22967
181	5100	22922
182	5127	22892
183	5153	22854
184	5174	22796
185	5204	22775
186	5233	22753
187	5262	22728
188	5300	22744
189	5344	22783
190	5367	22735
191	5392	22694
192	5418	22655
193	5442	22613
194	5469	22579
195	5494	22538
196	5517	22492
197	5544	22457
198	5571	22425
199	5594	22377
200	5620	22340
201	5642	22290
202	5664	22240
203	5684	22182
204	5705	22125
205	5726	22073
206	5753	22041
207	5775	21989
208	5797	21943
209	5820	21895
210	5853	21888
211	5887	21884
212	5917	21864
213	5945	21836
214	5973	21811
215	5998	21772
216	6021	21728
217	6048	21696
218	6075	21666
219	6102	21634
220	6125	21589
221	6150	21554
222	6173	21510
223	6333	21942
224	6406	22067
225	6480	22193
226	6516	22190
227	6574	22260
228	6621	22294
229	6681	22369
230	6729	22403
231	6780	22447
232	6822	22458
233	6890	22555
234	6921	22533
235	6945	22485
236	6967	22431
237	6990	22382
238	7016	22340
239	7037	22286
240	7058	22228
241	7080	22178
242	7100	22120
243	7118	22055
244	7137	21993
245	7154	21929
246	7172	21866
247	7199	21831
248	7222	21783
249	7244	21734
250	7267	21685
251	7295	21655
252	7318	21608
253	7345	21574
254	7368	21527
255	7388	21472
256	7416	21440
257	7438	21393
258	7463	21352
259	7486	21306
260	7505	21252
261	7535	21225
262	7556	21175
263	7583	21141
264	7612	21114
265	7636	21071
266	7658	21026
267	7680	20978
268	7703	20935
269	7740	20927
270	7757	20868
271	7781	20828
272	7803	20780
273	7831	20751
274	7857	20715
275	7885	20684
276	7917	20665
277	7952	20652
278	7989	20646
279	8008	20592
280	8031	20551
281	8061	20525
282	8088	20491
283	8117	20464
284	8148	20441
285	8174	20407
286	8197	20366
287	8223	20330
288	8245	20286
